time,service_avg_cpu_usage_percentage,service_avg_memory_usage_percentage,service_avg_network_receive_bytes,service_avg_network_transmit_bytes,nginx_avg_respone_time,nginx_requests_per_second,nginx_received_http_traffic,nginx_sent_http_traffic
2023-06-13T06:19:50,4.120688971165665,18.80859375,7943.613903995774,136395.7970409252,0.013524685138511548,871,146193.63636363635,6832152.727272727
2023-06-13T06:19:55,4.1245369474093945,18.830078125,7904.118317679111,135739.3477235075,0.013524685138511548,871,146193.63636363635,6832152.727272727
2023-06-13T06:20:00,4.078976991940083,18.830078125,7816.7352513527485,134206.69544807417,0.013601722827435074,857,144002.72727272724,6673136.363636361
2023-06-13T06:20:05,4.078976991940083,18.830078125,7816.7352513527485,134206.69544807417,0.01373604445564193,856,144707.0802574639,6575566.384232152
2023-06-13T06:20:10,4.098794630087763,18.818359375,7830.941132199927,133923.13639521203,0.01373604445564193,856,144707.0802574639,6575566.384232152
2023-06-13T06:20:15,4.14910455834653,18.806640625,7947.263123927922,136180.0954467485,0.012589537223311457,863,145340,6637803.636363636
2023-06-13T06:20:20,4.14910455834653,18.806640625,7947.263123927922,136180.0954467485,0.012373336680864032,867,145727.2727272727,6743254.545454546
2023-06-13T06:20:25,4.134881372835734,18.82421875,7896.061308934131,135434.46757516757,0.012373336680864032,867,145727.2727272727,6743254.545454546
2023-06-13T06:20:30,4.192994470372535,18.833984375,8008.995533323891,137400.85395385473,0.012171243135266699,888,149276.36363636362,6840054.545454544
2023-06-13T06:20:35,4.192994470372535,18.833984375,8008.995533323891,137400.85395385473,0.012183916604586209,903,152048.1818181818,6911883.636363635
2023-06-13T06:20:40,4.162857246180778,18.822265625,7980.9974542717355,136574.88839772236,0.012183916604586209,903,152048.1818181818,6911883.636363635
2023-06-13T06:20:45,4.172972126005044,18.77734375,8013.963053150205,137122.1627098819,0.012078017664347277,947,159086.36363636365,7251880
2023-06-13T06:20:50,4.172972126005044,18.77734375,8013.963053150205,137122.1627098819,0.012131591796845085,969,162552.72727272726,7467461.8181818165
2023-06-13T06:20:55,4.2427602563686575,18.8125,8141.479042180398,139624.16444741128,0.012131591796845085,969,162552.72727272726,7467461.8181818165
2023-06-13T06:21:00,4.265557529419494,18.7734375,8183.98851078442,140451.64686723167,0.012123584678361016,984,164599.0909090909,7683695.454545456
2023-06-13T06:21:05,4.265557529419494,18.7734375,8183.98851078442,140451.64686723167,0.012076629267098326,995,166642.72727272724,7718435.454545454
